               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041265,            0.014808,            0.015704,             0.77544,             0.88307,             0.91353,             0.45406,            0.032179,           0.0075966,           0.0056705,            0.009307,            0.009307,            0.009307
                  37,            0.040663,            0.016694,            0.016975,             0.74438,             0.90271,             0.85566,             0.36064,            0.033356,           0.0081309,           0.0052959,           0.0092872,           0.0092872,           0.0092872
                  38,            0.040696,            0.015889,            0.015287,             0.94642,             0.96606,              0.9776,             0.47558,            0.037437,           0.0074842,           0.0050655,           0.0092674,           0.0092674,           0.0092674
                  39,             0.04746,            0.015063,            0.015587,             0.88101,             0.90342,             0.92087,             0.34432,            0.039337,           0.0067789,           0.0045719,           0.0092476,           0.0092476,           0.0092476
                  40,            0.047678,            0.014085,            0.014836,             0.92832,             0.98529,             0.98609,             0.47071,            0.030226,           0.0063377,           0.0043997,           0.0092278,           0.0092278,           0.0092278
                  41,            0.037533,            0.012457,            0.013948,             0.93573,             0.98529,             0.98664,              0.5463,            0.025117,           0.0058078,           0.0043018,            0.009208,            0.009208,            0.009208
                  42,            0.039677,            0.011708,            0.012714,             0.93458,             0.91784,             0.97846,              0.4322,            0.029652,           0.0058137,           0.0042824,           0.0091882,           0.0091882,           0.0091882
                  43,            0.041997,            0.012187,            0.013082,             0.73692,             0.97059,             0.83109,             0.54552,            0.026315,           0.0058106,           0.0040915,           0.0091684,           0.0091684,           0.0091684
                  44,            0.043468,            0.011438,            0.010881,             0.71941,             0.95291,             0.98203,             0.46297,            0.028113,           0.0061111,           0.0039883,           0.0091486,           0.0091486,           0.0091486
                  45,            0.043255,            0.012951,            0.015131,             0.53205,             0.91176,              0.9043,             0.37537,            0.028106,           0.0059634,           0.0039822,           0.0091288,           0.0091288,           0.0091288
                  46,            0.041667,            0.012336,            0.013363,              0.8016,             0.80513,             0.91604,             0.35968,            0.030606,           0.0056352,           0.0054749,            0.009109,            0.009109,            0.009109
                  47,            0.040088,             0.01154,             0.01301,             0.57394,             0.94659,             0.90431,             0.48886,            0.024477,           0.0052105,           0.0067551,           0.0090892,           0.0090892,           0.0090892
                  48,            0.040191,            0.011613,            0.012462,             0.95214,             0.73828,             0.90604,             0.37328,            0.027146,           0.0050661,           0.0061394,           0.0090694,           0.0090694,           0.0090694
                  49,            0.034442,            0.011848,            0.013037,             0.67631,             0.96535,             0.95716,             0.50712,            0.024602,           0.0049047,             0.00672,           0.0090496,           0.0090496,           0.0090496
                  50,            0.039121,            0.010708,            0.016457,              0.9756,             0.97059,             0.99063,             0.51217,            0.023521,           0.0047581,           0.0034008,           0.0090298,           0.0090298,           0.0090298
                  51,            0.035535,             0.01158,            0.010458,             0.85389,             0.98529,             0.95004,             0.36282,            0.024215,           0.0052033,           0.0029484,             0.00901,             0.00901,             0.00901
                  52,            0.038717,            0.011502,            0.014256,             0.99288,             0.98529,             0.99471,             0.56428,            0.024091,           0.0048765,           0.0024279,           0.0089902,           0.0089902,           0.0089902
                  53,            0.031902,            0.010782,            0.010125,              0.9823,             0.96606,             0.99316,             0.45196,            0.026235,           0.0053735,           0.0019974,           0.0089704,           0.0089704,           0.0089704
                  54,            0.040443,            0.012004,            0.011578,              0.9895,             0.97817,             0.99444,             0.58159,            0.019672,           0.0047113,           0.0018864,           0.0089506,           0.0089506,           0.0089506
                  55,            0.032256,            0.010772,            0.013579,             0.99182,             0.96543,             0.99015,             0.58266,              0.0184,            0.005179,            0.001709,           0.0089308,           0.0089308,           0.0089308
                  56,            0.028928,            0.011466,            0.014421,             0.98087,             0.96167,             0.97819,             0.39815,            0.028343,           0.0051823,           0.0021837,            0.008911,            0.008911,            0.008911
                  57,            0.035589,            0.010583,            0.011428,             0.85222,             0.94118,             0.97184,             0.68771,            0.023102,           0.0048565,            0.002648,           0.0088912,           0.0088912,           0.0088912
                  58,            0.035322,            0.010658,            0.010666,               0.871,              0.9009,             0.98809,             0.49524,            0.025147,           0.0048149,           0.0030258,           0.0088714,           0.0088714,           0.0088714
                  59,            0.031579,            0.011412,           0.0094871,             0.94236,             0.90159,             0.99043,             0.63429,            0.021037,           0.0044824,           0.0047035,           0.0088516,           0.0088516,           0.0088516
                  60,            0.033951,            0.010957,            0.010404,             0.94765,             0.88199,             0.98672,             0.50364,            0.023505,            0.004613,           0.0043236,           0.0088318,           0.0088318,           0.0088318
                  61,            0.034779,            0.010676,            0.012669,             0.94496,             0.88235,             0.95868,             0.62616,            0.024116,            0.004414,           0.0049965,            0.008812,            0.008812,            0.008812
                  62,            0.032969,            0.010788,           0.0094873,             0.94801,             0.93556,             0.98065,             0.66388,            0.019388,           0.0044385,           0.0044044,           0.0087922,           0.0087922,           0.0087922
                  63,            0.034441,            0.011433,            0.010724,             0.93518,             0.86918,             0.98363,             0.55856,            0.021673,           0.0042147,           0.0039394,           0.0087724,           0.0087724,           0.0087724
                  64,            0.029781,            0.011213,           0.0079506,             0.87288,             0.88235,             0.93542,             0.50644,            0.019525,           0.0040843,           0.0034889,           0.0087526,           0.0087526,           0.0087526
                  65,            0.034705,           0.0094997,            0.010501,              0.9222,             0.92392,             0.98921,             0.51624,              0.0313,           0.0046846,           0.0027739,           0.0087328,           0.0087328,           0.0087328
                  66,            0.030723,           0.0099171,           0.0086604,             0.96563,             0.95018,               0.995,              0.7052,            0.016363,           0.0038178,            0.002492,            0.008713,            0.008713,            0.008713
                  67,            0.030697,           0.0091018,           0.0085157,             0.81241,             0.97619,             0.99191,             0.43002,            0.025867,           0.0041521,           0.0017436,           0.0086932,           0.0086932,           0.0086932
                  68,            0.033697,            0.010467,           0.0082905,             0.98152,             0.94388,             0.98848,             0.69564,            0.018659,           0.0038682,            0.001633,           0.0086734,           0.0086734,           0.0086734
                  69,            0.030525,            0.010626,            0.010703,             0.99673,                   1,               0.995,             0.77147,            0.017756,           0.0038338,           0.0016628,           0.0086536,           0.0086536,           0.0086536
                  70,             0.02887,           0.0090247,            0.009544,             0.84543,             0.90925,             0.97508,              0.5573,            0.020358,           0.0039874,           0.0021322,           0.0086338,           0.0086338,           0.0086338
                  71,            0.028214,             0.01007,           0.0083125,             0.73993,             0.93824,              0.9635,             0.52401,            0.020968,           0.0039385,           0.0021183,            0.008614,            0.008614,            0.008614
