Frame Number,Timestamp,Vehicle ID,Vehicle BBox,Plate BBox,Plate Text,Plate Confidence,Vehicle Image Path,Plate Image Path
119,00:00:01,1,"(67, 0, 484, 246)","(220, 154, 356, 196)",BR01EZ2264,0.9915504561400634,E:/github/license_plate_detections/vehicle_image/119_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/119_1_plate_rotated.jpg
120,00:00:02,1,"(65, 0, 482, 245)","(218, 152, 355, 195)",BR01EZ2264,0.6167150424851238,E:/github/license_plate_detections/vehicle_image/120_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/120_1_plate_rotated.jpg
121,00:00:02,1,"(63, 0, 480, 244)","(216, 152, 353, 194)",BR01EZ2264,0.9559808058365169,E:/github/license_plate_detections/vehicle_image/121_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/121_1_plate_rotated.jpg
122,00:00:02,1,"(61, 0, 477, 243)","(214, 150, 351, 193)",BR01EZ2264,0.9004767872299826,E:/github/license_plate_detections/vehicle_image/122_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/122_1_plate_rotated.jpg
123,00:00:02,1,"(61, 0, 477, 243)","(214, 150, 351, 193)",BR01EZ2264,0.8992644620446255,E:/github/license_plate_detections/vehicle_image/123_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/123_1_plate_rotated.jpg
124,00:00:02,1,"(56, 0, 474, 238)","(209, 145, 346, 188)",BR01EZ2264,0.6661257401189662,E:/github/license_plate_detections/vehicle_image/124_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/124_1_plate_rotated.jpg
125,00:00:02,1,"(55, 0, 472, 236)","(207, 143, 344, 187)",BR01EZ2264,0.9518332670570883,E:/github/license_plate_detections/vehicle_image/125_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/125_1_plate_rotated.jpg
126,00:00:02,1,"(52, 0, 471, 236)","(204, 141, 341, 185)",BR01EZ2264,0.8987385965955241,E:/github/license_plate_detections/vehicle_image/126_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/126_1_plate_rotated.jpg
127,00:00:02,1,"(49, 0, 468, 233)","(202, 139, 339, 184)",BR01EZ2264,0.9872040577581613,E:/github/license_plate_detections/vehicle_image/127_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/127_1_plate_rotated.jpg
128,00:00:02,1,"(47, 0, 466, 231)","(199, 138, 337, 183)",BR01EZ2264,0.6978044788473198,E:/github/license_plate_detections/vehicle_image/128_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/128_1_plate_rotated.jpg
